pid,tta_idx,dice
1,1_2,0.9760646687697184
1,2_1,0.9760646687697184
1,1_3,0.18676622850166186
1,3_1,0.18676622850166186
1,1_4,0.9777088314922062
1,4_1,0.9777088314922062
1,1_5,0.08436878416988676
1,5_1,0.08436878416988676
1,1_6,0.9807686597448377
1,6_1,0.9807686597448377
1,1_7,0.9762127200862403
1,7_1,0.9762127200862403
1,1_8,0.1382773521965212
1,8_1,0.1382773521965212
1,1_9,0.9764198333431854
1,9_1,0.9764198333431854
1,1_10,0.06426938157507964
1,10_1,0.06426938157507964
1,1_11,0.9791307791307812
1,11_1,0.9791307791307812
1,1_12,0.7874800394412101
1,12_1,0.7874800394412101
1,1_13,0.24473221839008116
1,13_1,0.24473221839008116
1,1_14,0.40415204869597243
1,14_1,0.40415204869597243
1,1_15,0.9895474557489004
1,15_1,0.9895474557489004
1,2_3,0.18990799051387106
1,3_2,0.18990799051387106
1,2_4,0.9945106102339301
1,4_2,0.9945106102339301
1,2_5,0.0856259650712909
1,5_2,0.0856259650712909
1,2_6,0.9945888181862346
1,6_2,0.9945888181862346
1,2_7,0.9550786953588413
1,7_2,0.9550786953588413
1,2_8,0.14017607249741224
1,8_2,0.14017607249741224
1,2_9,0.9950110221603439
1,9_2,0.9950110221603439
1,2_10,0.06528687426677116
1,10_2,0.06528687426677116
1,2_11,0.9900886194029861
1,11_2,0.9900886194029861
1,2_12,0.7839283108589664
1,12_2,0.7839283108589664
1,2_13,0.2483103847472449
1,13_2,0.2483103847472449
1,2_14,0.4062695344153262
1,14_2,0.4062695344153262
1,2_15,0.9756341298533369
1,15_2,0.9756341298533369
1,3_4,0.19018163587985576
1,4_3,0.19018163587985576
1,3_5,0.5199071852241897
1,5_3,0.5199071852241897
1,3_6,0.18928887425669277
1,6_3,0.18928887425669277
1,3_7,0.18534961730589603
1,7_3,0.18534961730589603
1,3_8,0.7223046934153384
1,8_3,0.7223046934153384
1,3_9,0.18999447705410713
1,9_3,0.18999447705410713
1,3_10,0.4227414721372394
1,10_3,0.4227414721372394
1,3_11,0.188446095239096
1,11_3,0.188446095239096
1,3_12,0.1751516055274089
1,12_3,0.1751516055274089
1,3_13,0.8546981258580529
1,13_3,0.8546981258580529
1,3_14,0.13978661756560812
1,14_3,0.13978661756560812
1,3_15,0.1880461737548092
1,15_3,0.1880461737548092
1,4_5,0.08576377622587983
1,5_4,0.08576377622587983
1,4_6,0.9925122442819454
1,6_4,0.9925122442819454
1,4_7,0.9577180462891042
1,7_4,0.9577180462891042
1,4_8,0.1404521808853004
1,8_4,0.1404521808853004
1,4_9,0.9931391359962796
1,9_4,0.9931391359962796
1,4_10,0.06538179029598765
1,10_4,0.06538179029598765
1,4_11,0.9859560957556647
1,11_4,0.9859560957556647
1,4_12,0.7818937119954775
1,12_4,0.7818937119954775
1,4_13,0.2487767306995531
1,13_4,0.2487767306995531
1,4_14,0.40474479791965895
1,14_4,0.40474479791965895
1,4_15,0.9766190406049023
1,15_4,0.9766190406049023
1,5_6,0.08537518148467854
1,6_5,0.08537518148467854
1,5_7,0.08371131871634876
1,7_5,0.08371131871634876
1,5_8,0.7466466494833488
1,8_5,0.7466466494833488
1,5_9,0.08572241268321346
1,9_5,0.08572241268321346
1,5_10,0.8635529447847463
1,10_5,0.8635529447847463
1,5_11,0.08496373718220396
1,11_5,0.08496373718220396
1,5_12,0.08105573234289547
1,12_5,0.08105573234289547
1,5_13,0.4221105194784812
1,13_5,0.4221105194784812
1,5_14,0.0719448861005815
1,14_5,0.0719448861005815
1,5_15,0.08494937017538462
1,15_5,0.08494937017538462
1,6_7,0.9596359959555147
1,7_6,0.9596359959555147
1,6_8,0.1397961609174353
1,8_6,0.1397961609174353
