pid,tta_idx,dice
1,1_2,0.6769288782945013
1,2_1,0.6769288782945013
1,1_3,0.7183651642475387
1,3_1,0.7183651642475387
1,1_4,0.7182514273518142
1,4_1,0.7182514273518142
1,1_5,0.7080098734498379
1,5_1,0.7080098734498379
1,1_6,0.10048103750169228
1,6_1,0.10048103750169228
1,1_7,0.07357805734211743
1,7_1,0.07357805734211743
1,1_8,0.06725186872927155
1,8_1,0.06725186872927155
1,1_9,0.12098625460974526
1,9_1,0.12098625460974526
1,1_10,0.5623920356396284
1,10_1,0.5623920356396284
1,1_11,0.715015615998081
1,11_1,0.715015615998081
1,1_12,0.5079489594820233
1,12_1,0.5079489594820233
1,2_3,0.8343352222815652
1,3_2,0.8343352222815652
1,2_4,0.8424620029302627
1,4_2,0.8424620029302627
1,2_5,0.8768344913713004
1,5_2,0.8768344913713004
1,2_6,0.10327199761086296
1,6_2,0.10327199761086296
1,2_7,0.0729052146360646
1,7_2,0.0729052146360646
1,2_8,0.06588008387915945
1,8_2,0.06588008387915945
1,2_9,0.1237682947874009
1,9_2,0.1237682947874009
1,2_10,0.7488058164493511
1,10_2,0.7488058164493511
1,2_11,0.8490395287287757
1,11_2,0.8490395287287757
1,2_12,0.329749781442737
1,12_2,0.329749781442737
1,3_4,0.8294820310373137
1,4_3,0.8294820310373137
1,3_5,0.9489602281107173
1,5_3,0.9489602281107173
1,3_6,0.09283555174236374
1,6_3,0.09283555174236374
1,3_7,0.07121255664272032
1,7_3,0.07121255664272032
1,3_8,0.06410069120150991
1,8_3,0.06410069120150991
1,3_9,0.11416669733959084
1,9_3,0.11416669733959084
1,3_10,0.6724469329767903
1,10_3,0.6724469329767903
1,3_11,0.9774325790764059
1,11_3,0.9774325790764059
1,3_12,0.331406219159917
1,12_3,0.331406219159917
1,4_5,0.8387433427480607
1,5_4,0.8387433427480607
1,4_6,0.10796681662600181
1,6_4,0.10796681662600181
1,4_7,0.07311023405039836
1,7_4,0.07311023405039836
1,4_8,0.06593529138916265
